# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface mass flux
# Region: west
# Functional: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcq cell
# Region: BTC obs
# Functional: point
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcc seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcq last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: water content last column
# Region: BTC all
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcq seepage cell
# Region: BTC seepage cell
# Functional: point
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: tcq seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# =============================================================================
"time [s]" "subsurface mass flux" "tcq cell tracer1" "tcq cell tracer2" "tcq cell H2O_old" "tcq cell H2O_new" "tcc last column tracer1" "tcc last column tracer2" "tcc seepage tracer1" "tcc seepage tracer2" "tcq last column tracer1" "tcq last column tracer2" "tcq last column H2O_old" "tcq last column H2O_new" "water content last column" "tcq seepage cell tracer1" "tcq seepage cell tracer2" "tcq seepage cell H2O_old" "tcq seepage cell H2O_new" "tcq seepage tracer1" "tcq seepage tracer2" "tcq seepage H2O_old" "tcq seepage H2O_new"
2.748600000000e+05 1.206936641506e+04 nan nan nan nan 0.000000000000e+00 4.579301201053e-01 0.000000000000e+00 5.506427497387e-03 0.000000000000e+00 1.001632948257e+03 5.429394024796e+06 5.429402277029e+06 5.429394024796e+06 0.000000000000e+00 1.059051299668e+01 4.979761920000e+05 4.979762050246e+05 0.000000000000e+00 4.570116327788e+01 1.493928576000e+07 1.493928578110e+07
2.749200000000e+05 1.206918107714e+04 nan nan nan nan 0.000000000000e+00 4.566606693403e-01 0.000000000000e+00 5.512327155686e-03 0.000000000000e+00 9.988486808988e+02 5.429381786041e+06 5.429390037842e+06 5.429381786041e+06 0.000000000000e+00 1.060350424142e+01 4.979761920000e+05 4.979762051507e+05 0.000000000000e+00 4.575012810078e+01 1.493928576000e+07 1.493928578126e+07
2.749800000000e+05 1.206899574053e+04 nan nan nan nan 0.000000000000e+00 4.553944548439e-01 0.000000000000e+00 5.518229216271e-03 0.000000000000e+00 9.960715381118e+02 5.429369547343e+06 5.429377798711e+06 5.429369547343e+06 0.000000000000e+00 1.061650312269e+01 4.979761920000e+05 4.979762052682e+05 0.000000000000e+00 4.579911286169e+01 1.493928576000e+07 1.493928578141e+07
2.750400000000e+05 1.206881040523e+04 nan nan nan nan 0.000000000000e+00 4.541314693690e-01 0.000000000000e+00 5.524133675418e-03 0.000000000000e+00 9.933015038507e+02 5.429357308703e+06 5.429365559640e+06 5.429357308703e+06 0.000000000000e+00 1.062950963374e+01 4.979761920000e+05 4.979762053858e+05 0.000000000000e+00 4.584811752973e+01 1.493928576000e+07 1.493928578159e+07
2.751000000000e+05 1.206862507125e+04 nan nan nan nan 0.000000000000e+00 4.528717056813e-01 0.000000000000e+00 5.530040529422e-03 0.000000000000e+00 9.905385620992e+02 5.429345070120e+06 5.429353320626e+06 5.429345070120e+06 0.000000000000e+00 1.064252376792e+01 4.979761920000e+05 4.979762055120e+05 0.000000000000e+00 4.589714207412e+01 1.493928576000e+07 1.493928578174e+07
2.751600000000e+05 1.206843973859e+04 nan nan nan nan 0.000000000000e+00 4.516151565590e-01 0.000000000000e+00 5.535949774481e-03 0.000000000000e+00 9.877826968689e+02 5.429332831594e+06 5.429341081667e+06 5.429332831594e+06 0.000000000000e+00 1.065554551809e+01 4.979761920000e+05 4.979762056296e+05 0.000000000000e+00 4.594618646332e+01 1.493928576000e+07 1.493928578190e+07
2.752200000000e+05 1.206824889017e+04 nan nan nan nan 0.000000000000e+00 4.503618423967e-01 0.000000000000e+00 5.541861190065e-03 0.000000000000e+00 9.850339326615e+02 5.429320389773e+06 5.429328843656e+06 5.429320389773e+06 0.000000000000e+00 1.066857419044e+01 4.979761920000e+05 4.979761920273e+05 0.000000000000e+00 4.599524886702e+01 1.493928576000e+07 1.493928575943e+07
2.752800000000e+05 1.206805804315e+04 nan nan nan nan 0.000000000000e+00 4.491117284912e-01 0.000000000000e+00 5.547774840841e-03 0.000000000000e+00 9.822922134022e+02 5.429307948011e+06 5.429316402349e+06 5.429307948011e+06 0.000000000000e+00 1.068161043487e+01 4.979761920000e+05 4.979761784255e+05 0.000000000000e+00 4.604432982192e+01 1.493928576000e+07 1.493928573699e+07
2.753400000000e+05 1.206787968519e+04 nan nan nan nan 0.000000000000e+00 4.478648081843e-01 0.000000000000e+00 5.553691231603e-03 0.000000000000e+00 9.795575239559e+02 5.429295498024e+06 5.429303957567e+06 5.429295498024e+06 0.000000000000e+00 1.069465575556e+01 4.979761920000e+05 4.979761919843e+05 0.000000000000e+00 4.609343351763e+01 1.493928576000e+07 1.493928575925e+07
2.754000000000e+05 1.206770132844e+04 nan nan nan nan 0.000000000000e+00 4.466210737562e-01 0.000000000000e+00 5.559610258537e-03 0.000000000000e+00 9.768298476451e+02 5.429283048096e+06 5.429291504556e+06 5.429283048096e+06 0.000000000000e+00 1.070770890521e+01 4.979761920000e+05 4.979762055255e+05 0.000000000000e+00 4.614255909250e+01 1.493928576000e+07 1.493928578150e+07
