# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: subsurface mass flux
# Region: west
# Functional: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: total component concentration
# Region: BTC obs
# Functional: point
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcc seepage
# Region: BTC seepage
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: tcq last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_quantity
# Number of Vectors: 4
# -----------------------------------------------------------------------------
# Observation Name: water content last column
# Region: BTC all
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# =============================================================================
"time [s]" "subsurface mass flux" "total component concentration tracer1" "total component concentration tracer2" "tcc last column tracer1" "tcc last column tracer2" "tcc seepage tracer1" "tcc seepage tracer2" "tcq last column tracer1" "tcq last column tracer2" "tcq last column H2O_old" "tcq last column H2O_new" "water content last column"
4.914000000000e+04 0.000000000000e+00 nan nan 1.297898461630e+00 2.472066208449e-01 3.102573684115e-01 4.918309455306e-01 1.586661595879e+02 4.360243155224e+01 4.955515046544e+05 4.955515046626e+05 4.955515046544e+05
4.920000000000e+04 0.000000000000e+00 nan nan 1.295840818208e+00 2.479623711360e-01 3.089332204810e-01 4.935059316928e-01 1.583936107541e+02 4.372964482297e+01 4.955515046478e+05 4.955515046561e+05 4.955515046478e+05
4.926000000000e+04 0.000000000000e+00 nan nan 1.293790562217e+00 2.487173998345e-01 3.076178028587e-01 4.951786986607e-01 1.581220810933e+02 4.385670353613e+01 4.955515046412e+05 4.955515046496e+05 4.955515046412e+05
4.932000000000e+04 0.000000000000e+00 nan nan 1.291747652405e+00 2.494717025798e-01 3.063110380663e-01 4.968492318469e-01 1.578515647459e+02 4.398360704162e+01 4.955515046345e+05 4.955515046430e+05 4.955515046345e+05
4.938000000000e+04 0.000000000000e+00 nan nan 1.289712047836e+00 2.502252750625e-01 3.050128494740e-01 4.985175168382e-01 1.575820558976e+02 4.411035469840e+01 4.955515046279e+05 4.955515046365e+05 4.955515046279e+05
4.944000000000e+04 0.000000000000e+00 nan nan 1.287683707881e+00 2.509781130249e-01 3.037231612924e-01 5.001835393996e-01 1.573135487794e+02 4.423694587448e+01 4.955515046212e+05 4.955515046300e+05 4.955515046212e+05
4.950000000000e+04 0.000000000000e+00 nan nan 1.285662594179e+00 2.517302121590e-01 3.024419138831e-01 5.018473018102e-01 1.570460379422e+02 4.436337989729e+01 4.955515046720e+05 4.955515046249e+05 4.955515046720e+05
4.956000000000e+04 0.000000000000e+00 nan nan 1.283648662837e+00 2.524815689802e-01 3.011690091745e-01 5.035087644964e-01 1.567795171713e+02 4.448965632761e+01 4.955515047071e+05 4.955515046746e+05 4.955515047071e+05
4.962000000000e+04 0.000000000000e+00 nan nan 1.281641876101e+00 2.532321787582e-01 2.999043835237e-01 5.051679248663e-01 1.565139810926e+02 4.461577441536e+01 4.955515047421e+05 4.955515047086e+05 4.955515047421e+05
4.968000000000e+04 0.000000000000e+00 nan nan 1.279642194575e+00 2.539820375447e-01 2.986479643085e-01 5.068247694021e-01 1.562494241167e+02 4.474173358787e+01 4.955515047771e+05 4.955515047427e+05 4.955515047771e+05
